<th>Number</th><th>Course Title</th><th>Credit</th><th>Seats</th><th>Days</th><th>Times</th><th>Instructor</th><th>Dates</th><th>Prerequisite(s)</th><th>Location</th>
COR 101-07;Navigating Higher Education;3;2;W;9AM-11:45AM;Marianne Bhonslay; 8/25 - 12/12;Take Cor-102 concurr... more;JOYC 202;
COR 101-08;Navigating Higher Education;3;3;MTH;11:30AM-12:45PM;Zachary LaMalfa; 8/25 - 12/12;Take Cor-102 concurr... more;JOYC 202;
COR 101-09;Navigating Higher Education;3;1;TF;1PM-2:15PM;Weiling Deng; 8/25 - 12/12;Take Cor-102 concurr... more;WICK 100;
COR 101-10;Navigating Higher Education;3;2;TF;2:30PM-3:45PM;Weiling Deng; 8/25 - 12/12;Take Cor-102 concurr... more;WICK 100;
COR 101-11;Navigating Higher Education;3;2;MTH;1PM-2:15PM;Erik Kaarla; 8/25 - 12/12;Take Cor-102 concurr... more;JOYC 301;
COR 101-13;Navigating Higher Education;3;1;MTH;10AM-11:15AM;Robert Mayer; 8/25 - 12/12;Take Cor-102 concurr... more;GBTC 217;
COR 101-14;Navigating Higher Education;3;1;MTH;11:30AM-12:45PM;Robert Mayer; 8/25 - 12/12;Take Cor-102 concurr... more;GBTC 217;
COR 101-17;Navigating Higher Education;3;1;W;12:15PM-3PM;William Stratton; 8/25 - 12/12;Take Cor-102 concurr... more;JOYC 311;
COR 101-51;Navigating Higher Education;3;7;W;5:30PM-8:15PM;Erik Kaarla; 8/25 - 12/12;Take Cor-102 concurr... more;JOYC 212;
COR 101-52;Navigating Higher Education;3;5;T;5:30PM-8:15PM;Fiadhnait Moser-Hardy; 8/25 - 12/12;Take Cor-102 concurr... more;MIC 305/306;
COR 101-53;Navigating Higher Education;3;6;W;5:30PM-8:15PM;Fiadhnait Moser-Hardy; 8/25 - 12/12;Take Cor-102 concurr... more;FOST 100;
COR 101-54;Navigating Higher Education;3;10;W;5:30PM-8:15PM;William Stratton; 8/25 - 12/12;Take Cor-102 concurr... more;JOYC 202;
COR 101-55;Navigating Higher Education;3;4;MTH;5:30PM-6:45PM;Amanda Young; 8/25 - 12/12;Take Cor-102 concurr... more;JOYC 311;
